name,scientific_name,description,uses,preparation,location,image_url,family,parts_used,properties,precautions,hindi_name,sanskrit_name,english_name,regional_names,chemical_compounds,therapeutic_actions,dosage,season,habitat
Aloe Vera,Aloe barbadensis miller,"Succulent plant with thick fleshy leaves containing gel","Burns wounds skin conditions digestive issues immunity","Fresh gel applied topically; juice consumed internally","Tropical and subtropical regions worldwide","/attached_assets/generated_images/Aloe_vera_plant_photo_2022037a.png","Asphodelaceae","Leaves gel","Cooling anti-inflammatory antimicrobial","Avoid during pregnancy; may cause diarrhea","Ghrita Kumari","Kumari","Aloe Vera","Ghikumar (Bengali) Kattalai (Tamil)","Aloin acemannan polysaccharides","Wound healing anti-inflammatory laxative","10-20ml juice twice daily","Year round","Dry sandy soils"
Turmeric,Curcuma longa,"Golden yellow rhizome with potent anti-inflammatory properties","Inflammation arthritis wound healing digestive disorders immunity","Powder mixed with milk or water; paste for external use","India Southeast Asia","/attached_assets/generated_images/Fresh_turmeric_root_photo_9875a081.png","Zingiberaceae","Rhizome","Warming anti-inflammatory antimicrobial","May increase bleeding risk; avoid with gallstones","Haldi","Haridra","Turmeric","Manjal (Tamil) Halud (Bengali)","Curcumin turmerone bisdemethoxycurcumin","Anti-inflammatory antioxidant hepatoprotective","1-3g powder daily","Post monsoon","Tropical humid climate"
Neem,Azadirachta indica,"Bitter medicinal tree known as village pharmacy","Skin diseases diabetes fever infections immunity","Leaf powder oil bark decoction","Indian subcontinent","/attached_assets/generated_images/Neem_tree_leaves_6beb731f.png","Meliaceae","Leaves bark oil","Cooling bitter antimicrobial","Avoid during pregnancy; may lower blood sugar","Neem","Nimba","Neem","Vembu (Tamil) Nim (Bengali)","Azadirachtin nimbin salannin","Antimicrobial antidiabetic immunomodulator","2-4 leaves daily or 1-2ml oil","Year round","Tropical dry regions"
Ginger,Zingiber officinale,"Aromatic rhizome with warming digestive properties","Nausea indigestion cold cough inflammation arthritis","Fresh juice powder tea decoction","Tropical Asia","/attached_assets/generated_images/Fresh_ginger_root_photo_f669185b.png","Zingiberaceae","Rhizome","Warming pungent stimulant","May increase bleeding; avoid with gallstones","Adrak","Ardraka","Ginger","Inji (Tamil) Ada (Bengali)","Gingerol shogaol zingerone","Digestive stimulant anti-nausea carminative","1-3g powder daily","Year round","Tropical humid climate"
Ashwagandha,Withania somnifera,"Adaptogenic herb known as Indian winter cherry","Stress anxiety fatigue immunity strength insomnia","Root powder milk decoction capsules","India Middle East Africa","https://example.com/ashwagandha.jpg","Solanaceae","Root","Warming bitter sweet","Avoid during pregnancy; may increase thyroid hormones","Ashwagandha","Ashvagandha","Winter Cherry","Amukkara (Tamil) Ashwagandha (Bengali)","Withanolides withanoside alkaloids","Adaptogenic immunomodulator nervine tonic","3-6g powder daily","Post monsoon","Dry regions"
Brahmi,Bacopa monnieri,"Brain tonic herb improving memory and cognition","Memory concentration anxiety stress learning","Fresh juice powder ghee preparation","India Australia","https://example.com/brahmi.jpg","Plantaginaceae","Whole plant","Cooling bitter sweet","May cause drowsiness; start with small doses","Brahmi","Brahmi","Water Hyssop","Neer Brahmi (Tamil) Brahmi (Bengali)","Bacosides saponins alkaloids","Nootropic nervine tonic memory enhancer","3-6g powder daily","Monsoon","Wetlands marshes"
Holy Basil,Ocimum tenuiflorum,"Sacred herb with adaptogenic and respiratory benefits","Stress cough cold fever immunity respiratory disorders","Fresh leaves tea decoction essential oil","India Southeast Asia","https://example.com/tulsi.jpg","Lamiaceae","Leaves","Warming pungent aromatic","May lower blood sugar; avoid during pregnancy","Tulsi","Tulasi","Holy Basil","Tulasi (Tamil) Tulsi (Bengali)","Eugenol ursolic acid rosmarinic acid","Adaptogenic immunomodulator expectorant","5-10 leaves daily","Year round","Tropical regions"
Amla,Phyllanthus emblica,"Vitamin C rich fruit with rejuvenative properties","Immunity hair health digestion eye health aging","Fresh fruit juice powder chyavanprash","India","https://example.com/amla.jpg","Phyllanthaceae","Fruit","Cooling sour astringent","May cause loose stools in large doses","Amla","Amalaki","Indian Gooseberry","Nelli (Tamil) Amlaki (Bengali)","Vitamin C tannins gallic acid","Antioxidant immunomodulator rasayana","1-2 fruits daily or 3-6g powder","Winter","Deciduous forests"
Fenugreek,Trigonella foenum-graecum,"Aromatic seeds with digestive and metabolic benefits","Diabetes digestion lactation hair health inflammation","Soaked seeds powder decoction","Mediterranean India","https://example.com/fenugreek.jpg","Fabaceae","Seeds","Warming bitter pungent","May cause hypoglycemia; avoid during pregnancy","Methi","Medhika","Fenugreek","Vendhayam (Tamil) Methi (Bengali)","Trigonelline diosgenin saponins","Antidiabetic galactagogue digestive","1-2g powder twice daily","Winter","Temperate regions"
Cinnamon,Cinnamomum verum,"Sweet warming spice with metabolic benefits","Diabetes digestion circulation cold flu","Powder tea bark decoction","Sri Lanka India","https://example.com/cinnamon.jpg","Lauraceae","Bark","Warming sweet pungent","May increase bleeding; avoid in liver disease","Dalchini","Tvak","Cinnamon","Pattai (Tamil) Daruchini (Bengali)","Cinnamaldehyde eugenol coumarin","Antidiabetic circulatory stimulant carminative","1-3g powder daily","Year round","Tropical evergreen forests"
Triphala,Terminalia chebula Terminalia bellirica Phyllanthus emblica,"Three fruit combination for digestive health","Constipation digestion detoxification eye health immunity","Powder decoction tablets","India","https://example.com/triphala.jpg","Various","Fruits","Cooling astringent sweet","May cause loose stools initially","Triphala","Triphala","Three Fruits","Triphala (Tamil) Triphala (Bengali)","Tannins gallic acid chebulinic acid","Laxative detoxifier antioxidant","3-6g powder before bed","Year round","Various regions"
Guduchi,Tinospora cordifolia,"Immunity boosting climbing shrub","Fever immunity liver health diabetes skin diseases","Stem juice powder decoction","India Myanmar","https://example.com/guduchi.jpg","Menispermaceae","Stem","Warming bitter astringent","May lower blood sugar; monitor glucose levels","Giloy","Guduchi","Heart-leaved Moonseed","Seendhil (Tamil) Gulancha (Bengali)","Berberine tinosporin alkaloids","Immunomodulator hepatoprotective antipyretic","3-6g powder daily","Year round","Deciduous forests"
Shankhpushpi,Convolvulus pluricaulis,"Brain tonic herb for memory and intelligence","Memory concentration anxiety insomnia learning","Whole plant juice powder syrup","India","https://example.com/shankhpushpi.jpg","Convolvulaceae","Whole plant","Cooling sweet bitter","Generally safe; may cause drowsiness","Shankhpushpi","Shankhpushpi","Aloe Weed","Vishnu Kranti (Tamil) Shankhpushpi (Bengali)","Convolvin scopoletin kaempferol","Nootropic nervine tonic brain tonic","3-6g powder daily","Monsoon","Plains grasslands"
Arjuna,Terminalia arjuna,"Heart tonic tree bark for cardiovascular health","Heart disease blood pressure circulation chest pain","Bark powder decoction capsules","India","https://example.com/arjuna.jpg","Combretaceae","Bark","Cooling astringent bitter","Monitor blood pressure; may enhance cardiac medications","Arjuna","Arjuna","Arjuna","Marudha Maram (Tamil) Arjun (Bengali)","Arjunolic acid tannins flavonoids","Cardiotonic hypotensive astringent","3-6g powder daily","Year round","Riverbanks deciduous forests"
Shatavari,Asparagus racemosus,"Female reproductive tonic and adaptogen","Female health lactation fertility immunity stress","Root powder ghee preparation milk decoction","India Sri Lanka","https://example.com/shatavari.jpg","Asparagaceae","Root","Cooling sweet bitter","Generally safe; may cause allergic reactions","Shatavari","Shatavari","Wild Asparagus","Thanneervittan (Tamil) Shatamuli (Bengali)","Saponins asparagamine mucilage","Galactagogue reproductive tonic immunomodulator","3-6g powder daily","Post monsoon","Tropical subtropical regions"
Bhringraj,Eclipta prostrata,"Hair tonic herb for hair growth and liver health","Hair loss liver disorders skin diseases jaundice","Fresh juice oil powder","India China","https://example.com/bhringraj.jpg","Asteraceae","Whole plant","Cooling bitter sweet","Generally safe; may cause skin irritation","Bhringraj","Bhringaraja","False Daisy","Karisalankanni (Tamil) Bhringraj (Bengali)","Wedelolactone ecliptine coumarin","Hair tonic hepatoprotective skin tonic","Fresh juice or 3-6g powder","Monsoon","Moist areas wetlands"
Punarnava,Boerhavia diffusa,"Kidney and urinary tract supporting herb","Kidney stones edema urinary disorders liver health","Root powder decoction fresh juice","India Africa","https://example.com/punarnava.jpg","Nyctaginaceae","Root leaves","Cooling bitter astringent","May lower blood pressure; monitor levels","Punarnava","Punarnava","Hogweed","Mukkirattai (Tamil) Punarnava (Bengali)","Punarnavine boerhavin rotenoids","Diuretic nephroprotective anti-inflammatory","3-6g powder daily","Monsoon","Tropical regions waste places"
